time,ay,ax,az,gy,gx,gz,roll,pitch,yaw,cmd_fx,cmd_fy,cmd_fz,cmd_tx,cmd_ty,cmd_tz,pwm_1,pwm_2,pwm_3,pwm_4,pwm_5,pwm_6
1748737541.1623552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1748737541.2601357,0.0,0.04,-0.39,-0.001090830782496456,-0.002181661564992912,-0.002181661564992912,-0.12202593199511175,-0.009747301907740686,0.0005954787255632498,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1748737541.362658,0.0,0.04,-0.39,-0.001090830782496456,-0.002181661564992912,-0.002181661564992912,-0.12202593199511175,-0.009747301907740686,0.0005954787255632498,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1748737541.4445007,0.0,0.02,-0.37,-0.002181661564992912,-0.001090830782496456,0.001090830782496456,-0.12190303760634862,-0.00962545684709451,0.0005874459235425447,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1748737541.5440652,0.0,0.02,-0.37,-0.002181661564992912,-0.001090830782496456,0.001090830782496456,-0.12190303760634862,-0.00962545684709451,0.0005874459235425447,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1748737541.6443174,0.0,0.04,-0.35000000000000003,-0.002181661564992912,-0.001090830782496456,0.0,-0.12190303760634862,-0.00962545684709451,0.0005874459235425447,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1748737541.7292218,0.01,0.05,-0.33,-0.001090830782496456,-0.002181661564992912,-0.001090830782496456,-0.12190303760634862,-0.00962545684709451,0.0005874459235425447,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1748737541.8284419,0.01,0.05,-0.33,-0.001090830782496456,-0.002181661564992912,-0.001090830782496456,-0.12190303760634862,-0.00962545684709451,0.0005874459235425447,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1748737541.928301,0.0,0.02,-0.35000000000000003,-0.002181661564992912,0.006544984694978736,0.0,-0.12190303760634862,-0.00962545684709451,0.0005874459235425447,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1748737542.0286312,0.0,0.05,-0.32,0.001090830782496456,-0.004363323129985824,0.0,-0.12190303760634862,-0.00962545684709451,0.0005874459235425447,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1748737542.1254277,0.0,0.05,-0.32,0.001090830782496456,-0.004363323129985824,0.0,-0.12190303760634862,-0.00962545684709451,0.0005874459235425447,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1748737542.210399,-0.01,0.03,-0.32,0.0,-0.003272492347489368,0.001090830782496456,-0.12190303760634862,-0.00962545684709451,0.0005874459235425447,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1748737542.3087997,-0.01,0.03,-0.32,0.0,-0.003272492347489368,0.001090830782496456,-0.12190303760634862,-0.00962545684709451,0.0005874459235425447,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1748737542.4104602,-0.01,0.04,-0.35000000000000003,0.003272492347489368,0.0,0.003272492347489368,-0.12190303760634862,-0.00962545684709451,0.0005874459235425447,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1748737542.510309,0.0,0.02,-0.33,-0.001090830782496456,-0.001090830782496456,0.0,-0.12190303760634862,-0.00962545684709451,0.0005874459235425447,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1748737542.6097927,0.0,0.02,-0.33,-0.001090830782496456,-0.001090830782496456,0.0,-0.12190303760634862,-0.00962545684709451,0.0005874459235425447,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1748737542.6925602,-0.01,0.04,-0.37,0.001090830782496456,-0.004363323129985824,-0.001090830782496456,-0.12190303760634862,-0.00962545684709451,0.0005874459235425447,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1748737542.793569,-0.01,0.04,-0.37,0.001090830782496456,-0.004363323129985824,-0.001090830782496456,-0.12190303760634862,-0.00962545684709451,0.0005874459235425447,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
1748737542.8932042,0.0,0.05,-0.36,-0.001090830782496456,-0.001090830782496456,0.0,-0.12190303760634862,-0.00962545684709451,0.0005874459235425447,0,0,0,0,0,0,1500,1500,1500,1500,1500,1500
